window_size,alphabet_size,fold,state_count,transition_density,accuracy,precision,recall,f1_score
3,3,1,27,0.1111111111111111,0.6917443408788282,0.2824427480916031,0.21203438395415472,0.24222585924713586
3,3,2,27,0.1111111111111111,0.6270380434782609,0.2781065088757396,0.23558897243107768,0.25508819538670285
3,3,3,27,0.1111111111111111,0.676450967311541,0.3433962264150943,0.2263681592039801,0.272863568215892
3,3,4,27,0.1111111111111111,0.6897470039946738,0.328042328042328,0.1546134663341646,0.21016949152542372
3,3,5,27,0.1111111111111111,0.5959866220735786,0.22788203753351208,0.2119700748129676,0.21963824289405684
3,4,1,64,0.056884765625,0.6191744340878829,0.2591792656587473,0.3438395415472779,0.2955665024630542
3,4,2,64,0.056640625,0.5197010869565217,0.24754098360655738,0.37844611528822053,0.2993062438057483
3,4,3,64,0.057373046875,0.6484322881921281,0.3721881390593047,0.4527363184079602,0.40852974186307517
3,4,4,64,0.05810546875,0.6384820239680427,0.3285024154589372,0.33915211970074816,0.3337423312883436
3,4,5,64,0.054443359375,0.5157190635451505,0.24077046548956663,0.3740648379052369,0.29296875
3,5,1,120,0.033680555555555554,0.4826897470039947,0.25116279069767444,0.6189111747851003,0.3573200992555831
3,5,2,123,0.03060347676647498,0.46195652173913043,0.26065773447015833,0.5363408521303258,0.35081967213114756
3,5,3,122,0.032585326525127654,0.5563709139426284,0.32301480484522205,0.5970149253731343,0.4192139737991266
3,5,4,123,0.033445700310661644,0.6045272969374168,0.3446054750402576,0.5336658354114713,0.4187866927592955
3,5,5,119,0.03205988277664007,0.4160535117056856,0.24179431072210067,0.5511221945137157,0.3361216730038023
3,6,1,202,0.019801980198019802,0.40346205059920104,0.24931255728689275,0.7793696275071633,0.37777777777777777
3,6,2,199,0.01982273174919825,0.41304347826086957,0.2837209302325581,0.7644110275689223,0.41383989145183175
3,6,3,199,0.01992373929951264,0.48432288192128087,0.3165182987141444,0.7960199004975125,0.45293701344656756
3,6,4,202,0.020733261444956377,0.5565912117177098,0.3362175525339926,0.6783042394014963,0.44958677685950416
3,6,5,190,0.020664819944598338,0.3832775919732441,0.24733268671193018,0.6359102244389028,0.35614525139664804
4,3,1,81,0.03185490016765737,0.5871886120996441,0.22748815165876776,0.13753581661891118,0.17142857142857143
4,3,2,80,0.0334375,0.6016333938294011,0.42366412213740456,0.2781954887218045,0.3358547655068079
4,3,3,80,0.033125,0.5748663101604278,0.323943661971831,0.17164179104477612,0.22439024390243903
4,3,4,81,0.033226642280140224,0.6645907473309609,0.58,0.2169576059850374,0.3157894736842105
4,3,5,79,0.0334882230411793,0.5227882037533512,0.2527881040892193,0.16957605985037408,0.20298507462686566
4,4,1,225,0.011437037037037037,0.5195729537366548,0.2630272952853598,0.3037249283667622,0.28191489361702127
4,4,2,217,0.011956083161672577,0.5326678765880217,0.36818181818181817,0.40601503759398494,0.38617401668653156
4,4,3,214,0.012206306227618133,0.5784313725490197,0.4022038567493113,0.36318407960199006,0.38169934640522873
4,4,4,212,0.012660199359202564,0.6895017793594306,0.5928571428571429,0.4139650872817955,0.48751835535976507
4,4,5,208,0.012943786982248521,0.48168007149240394,0.2923433874709977,0.314214463840399,0.30288461538461536
4,5,1,419,0.006066267565119816,0.45640569395017794,0.28594771241830064,0.501432664756447,0.36420395421436
4,5,2,429,0.005781320466635152,0.4591651542649728,0.350076103500761,0.5764411027568922,0.4356060606060606
4,5,3,411,0.006056085389028007,0.48663101604278075,0.3382899628252788,0.4527363184079602,0.3872340425531915
4,5,4,424,0.006146537913848345,0.7072953736654805,0.5833333333333334,0.628428927680798,0.6050420168067226
4,5,5,395,0.006646370773914436,0.4673815907059875,0.3249551166965889,0.4513715710723192,0.3778705636743215
4,6,1,690,0.0034782608695652175,0.36476868327402134,0.2550335570469799,0.5444126074498568,0.3473491773308958
4,6,2,673,0.0034994447253322266,0.4782214156079855,0.3883248730964467,0.7669172932330827,0.5155855096882898
4,6,3,689,0.0034588737384695432,0.47593582887700536,0.3648255813953488,0.6243781094527363,0.46055045871559636
4,6,4,688,0.003551328420767983,0.6512455516014235,0.5078809106830122,0.7231920199501247,0.5967078189300411
4,6,5,672,0.003698093820861678,0.46023235031277926,0.3584379358437936,0.6408977556109726,0.4597495527728086
5,3,1,211,0.010242357539138833,0.5328874024526199,0.3008474576271186,0.21846153846153846,0.2531194295900178
5,3,2,202,0.010513675129889226,0.5613636363636364,0.3466135458167331,0.2815533980582524,0.3107142857142857
5,3,3,199,0.0108330597712179,0.5363128491620112,0.24,0.12962962962962962,0.1683366733466934
5,3,4,205,0.010398572278405712,0.6833890746934225,0.6722689075630253,0.24615384615384617,0.36036036036036034
5,3,5,189,0.01122588953276784,0.555431131019037,0.3347826086956522,0.2398753894080997,0.279491833030853
5,4,1,508,0.003851757703515407,0.5183946488294314,0.35733333333333334,0.4123076923076923,0.38285714285714284
5,4,2,522,0.003614891149572085,0.5079545454545454,0.3558139534883721,0.49514563106796117,0.4140730717185386
5,4,3,492,0.004011335845065768,0.46256983240223465,0.27887323943661974,0.3055555555555556,0.2916053019145803
5,4,4,525,0.003889342403628118,0.6711259754738016,0.5646551724137931,0.40307692307692305,0.4703770197486535
5,4,5,481,0.0043136051452059765,0.5352743561030235,0.3701657458563536,0.4174454828660436,0.3923865300146413
5,5,1,981,0.0018153270965884944,0.4080267558528428,0.294,0.4523076923076923,0.3563636363636364
5,5,2,919,0.0019276286733581115,0.4909090909090909,0.3691148775894539,0.6343042071197411,0.4666666666666667
5,5,3,922,0.001945690072981023,0.441340782122905,0.30444444444444446,0.4228395061728395,0.35400516795865633
5,5,4,981,0.0018153270965884944,0.6499442586399108,0.514745308310992,0.5907692307692308,0.5501432664756447
5,5,5,936,0.0019392851924903208,0.5106382978723404,0.3816326530612245,0.5825545171339563,0.46115906288532676
5,6,1,1437,0.0010866991223597061,0.3857302118171683,0.3245341614906832,0.6430769230769231,0.43137254901960786
5,6,2,1376,0.001163530117631152,0.4375,0.35377358490566035,0.7281553398058253,0.47619047619047616
5,6,3,1384,0.0011631695011527282,0.43575418994413406,0.3409490333919156,0.5987654320987654,0.43449048152295633
5,6,4,1450,0.0010901307966706302,0.6387959866220736,0.5010706638115632,0.72,0.5909090909090909
5,6,5,1453,0.0010946334541014177,0.5251959686450168,0.4134453781512605,0.7663551401869159,0.537117903930131
6,3,1,405,0.004365188233500991,0.613941018766756,0.25,0.3275862068965517,0.2835820895522388
6,3,2,398,0.0044380192419383345,0.5554035567715458,0.16326530612244897,0.25,0.19753086419753085
6,3,3,376,0.0048947487550928025,0.5376344086021505,0.1095890410958904,0.13872832369942195,0.12244897959183673
6,3,4,416,0.004339635724852071,0.7117962466487936,0.34814814814814815,0.27011494252873564,0.3042071197411003
6,3,5,390,0.004549638395792242,0.6091644204851752,0.2345132743362832,0.31176470588235294,0.2676767676767677
6,4,1,907,0.0017334245832669826,0.5656836461126006,0.2916666666666667,0.603448275862069,0.39325842696629215
6,4,2,872,0.001808296860533625,0.493844049247606,0.23880597014925373,0.6,0.3416370106761566
6,4,3,909,0.0017342768380248367,0.3978494623655914,0.11267605633802817,0.23121387283236994,0.15151515151515152
6,4,4,941,0.0016375280779598884,0.6394101876675603,0.3344947735191638,0.5517241379310345,0.4164859002169197
6,4,5,937,0.001705071591365982,0.5390835579514824,0.25287356321839083,0.5176470588235295,0.33976833976833976
6,5,1,1455,0.0009385812638017973,0.42091152815013405,0.2556818181818182,0.7758620689655172,0.38461538461538464
6,5,2,1499,0.0009056515773691245,0.40355677154582764,0.24725274725274726,0.84375,0.38243626062322944
6,5,3,1472,0.0009285650992438563,0.3803763440860215,0.2012448132780083,0.5606936416184971,0.2961832061068702
6,5,4,1544,0.0008737650675185911,0.5710455764075067,0.32019704433497537,0.7471264367816092,0.4482758620689655
6,5,5,1576,0.000856760029889974,0.48921832884097033,0.27906976744186046,0.7764705882352941,0.4105754276827372
6,6,1,2008,0.0005957246710369677,0.3324396782841823,0.24367088607594936,0.8850574712643678,0.38213399503722084
6,6,2,1996,0.0006031602282721756,0.31874145006839943,0.23003194888178913,0.9,0.366412213740458
6,6,3,1946,0.0006308563485432473,0.3118279569892473,0.2082616179001721,0.6994219653179191,0.3209549071618037
6,6,4,1977,0.0006171119620706409,0.514745308310992,0.3112449799196787,0.8908045977011494,0.46130952380952384
6,6,5,2065,0.0005813483106543393,0.42857142857142855,0.2771929824561403,0.9294117647058824,0.42702702702702705
